student_id,event_id,registration_timing,department,semester,club_activity_level,cgpa,event_date,topic,speaker_type,day_of_week,time_slot,duration_minutes,mode,exam_proximity,promotion_level,num_registrations,attended,past_attendance_rate,past_events_count
STU_0001,EVT_010,Early,School of Technology,1,Medium,6.24,2024-08-23,Digital Marketing,Industry,Friday,Afternoon (2-4 PM),180,Offline,3,Medium,43,1,0.0,0
STU_0001,EVT_018,Early,School of Technology,1,Medium,6.24,2024-09-07,Career Guidance,Alumni,Saturday,Evening (5-7 PM),120,Offline,1,Medium,58,0,1.0,1
STU_0001,EVT_037,On-time,School of Technology,1,Medium,6.24,2024-10-10,Music Production,Industry,Thursday,Afternoon (2-4 PM),120,Online,1,Low,43,0,0.5,2
STU_0001,EVT_046,On-time,School of Technology,1,Medium,6.24,2024-10-31,Creative Coding,Alumni,Thursday,Afternoon (2-4 PM),60,Offline,3,High,93,1,0.333,3
STU_0001,EVT_047,On-time,School of Technology,1,Medium,6.24,2024-11-01,Machine Learning,Industry,Friday,Afternoon (2-4 PM),120,Online,3,High,86,1,0.5,4
STU_0001,EVT_048,Early,School of Technology,1,Medium,6.24,2024-11-02,Design Thinking,Student,Saturday,Evening (5-7 PM),120,Offline,1,Medium,63,1,0.6,5
STU_0001,EVT_049,Early,School of Technology,1,Medium,6.24,2024-11-04,AI & Deep Learning,Alumni,Monday,Evening (5-7 PM),120,Offline,3,High,83,1,0.667,6
STU_0001,EVT_050,Early,School of Technology,1,Medium,6.24,2024-11-06,Cloud Computing,Industry,Wednesday,Morning (9-11 AM),60,Offline,2,High,66,1,0.714,7
STU_0001,EVT_056,Late,School of Technology,1,Medium,6.24,2024-11-23,Digital Marketing,Faculty,Saturday,Evening (5-7 PM),120,Offline,1,Low,90,0,0.75,8
STU_0001,EVT_061,Late,School of Technology,1,Medium,6.24,2024-12-05,Branding & Identity,Industry,Thursday,Morning (9-11 AM),90,Offline,1,Low,45,0,0.667,9
STU_0001,EVT_067,Early,School of Technology,1,Medium,6.24,2024-12-27,Web Development,Industry,Friday,Evening (5-7 PM),120,Online,2,Low,67,1,0.6,10
STU_0001,EVT_074,On-time,School of Technology,1,Medium,6.24,2025-02-12,UI/UX Design,Faculty,Wednesday,Evening (5-7 PM),90,Offline,1,Low,124,0,0.636,11
STU_0001,EVT_081,Late,School of Technology,1,Medium,6.24,2025-02-24,Music Production,Faculty,Monday,Evening (5-7 PM),90,Offline,1,High,103,0,0.583,12
STU_0001,EVT_093,On-time,School of Technology,1,Medium,6.24,2025-03-22,Branding & Identity,Faculty,Saturday,Evening (5-7 PM),120,Offline,2,Low,64,0,0.538,13
STU_0002,EVT_011,On-time,School of Music,6,High,8.4,2024-08-28,Career Guidance,Faculty,Wednesday,Afternoon (2-4 PM),60,Online,3,High,111,1,0.0,0
STU_0002,EVT_017,On-time,School of Music,6,High,8.4,2024-09-05,Cloud Computing,Industry,Thursday,Morning (9-11 AM),150,Offline,2,High,117,1,1.0,1
STU_0002,EVT_021,Late,School of Music,6,High,8.4,2024-09-12,Music Production,Industry,Thursday,Morning (9-11 AM),90,Online,3,Low,105,1,1.0,2
STU_0002,EVT_032,Early,School of Music,6,High,8.4,2024-10-04,Entrepreneurship,Industry,Friday,Evening (5-7 PM),150,Offline,3,High,115,1,1.0,3
STU_0002,EVT_035,Early,School of Music,6,High,8.4,2024-10-06,Branding & Identity,Industry,Sunday,Afternoon (2-4 PM),90,Offline,3,High,94,1,1.0,4
STU_0002,EVT_041,On-time,School of Music,6,High,8.4,2024-10-21,Machine Learning,Faculty,Monday,Evening (5-7 PM),90,Online,2,Medium,101,1,1.0,5
STU_0002,EVT_042,On-time,School of Music,6,High,8.4,2024-10-24,Creative Coding,Student,Thursday,Evening (5-7 PM),120,Online,3,Low,107,1,1.0,6
STU_0002,EVT_043,Late,School of Music,6,High,8.4,2024-10-26,Sound Design,Student,Saturday,Evening (5-7 PM),120,Online,2,Low,83,1,1.0,7
STU_0002,EVT_052,Late,School of Music,6,High,8.4,2024-11-08,UI/UX Design,Alumni,Friday,Evening (5-7 PM),90,Offline,1,Medium,70,1,1.0,8
STU_0002,EVT_053,On-time,School of Music,6,High,8.4,2024-11-09,Music Production,Industry,Saturday,Afternoon (2-4 PM),60,Offline,3,Low,123,1,1.0,9
STU_0002,EVT_062,Early,School of Music,6,High,8.4,2024-12-06,Entrepreneurship,Industry,Friday,Morning (9-11 AM),90,Offline,3,Low,58,1,1.0,10
STU_0002,EVT_066,Early,School of Music,6,High,8.4,2024-12-23,AI & Deep Learning,Faculty,Monday,Evening (5-7 PM),120,Offline,1,Medium,119,1,1.0,11
STU_0002,EVT_068,On-time,School of Music,6,High,8.4,2024-12-30,Web Development,Faculty,Monday,Morning (9-11 AM),120,Online,2,Medium,41,1,1.0,12
STU_0002,EVT_070,On-time,School of Music,6,High,8.4,2025-01-10,Data Science,Faculty,Friday,Morning (9-11 AM),120,Online,3,Medium,119,1,1.0,13
STU_0002,EVT_071,On-time,School of Music,6,High,8.4,2025-01-19,Product Management,Alumni,Sunday,Afternoon (2-4 PM),90,Offline,2,Medium,92,1,1.0,14
STU_0002,EVT_077,On-time,School of Music,6,High,8.4,2025-02-18,Data Science,Alumni,Tuesday,Morning (9-11 AM),90,Offline,2,High,105,1,1.0,15
STU_0002,EVT_083,Late,School of Music,6,High,8.4,2025-02-25,Web Development,Alumni,Tuesday,Morning (9-11 AM),120,Online,3,High,70,1,1.0,16
STU_0002,EVT_086,Late,School of Music,6,High,8.4,2025-03-06,Cybersecurity,Industry,Thursday,Afternoon (2-4 PM),90,Offline,3,High,59,1,1.0,17
STU_0002,EVT_095,Late,School of Music,6,High,8.4,2025-04-05,UI/UX Design,Student,Saturday,Morning (9-11 AM),150,Online,1,Low,62,1,1.0,18
STU_0002,EVT_099,Late,School of Music,6,High,8.4,2025-04-20,Cloud Computing,Student,Sunday,Morning (9-11 AM),180,Offline,2,High,124,0,1.0,19
STU_0003,EVT_002,On-time,School of Business,8,High,7.24,2024-08-01,Career Guidance,Alumni,Thursday,Afternoon (2-4 PM),150,Online,3,Low,57,0,0.0,0
STU_0003,EVT_017,On-time,School of Business,8,High,7.24,2024-09-05,Cloud Computing,Industry,Thursday,Morning (9-11 AM),150,Offline,2,High,117,0,0.0,1
