student_id,event_id,department,semester,club_activity_level,registration_timing,attended,past_attendance_rate,past_events_count,event_date,topic,speaker_type,day_of_week,time_slot,duration_minutes,mode,exam_proximity,promotion_level,num_registrations
S1491,E1040,CIVIL,7,Medium,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1333,E1040,ECE,2,Medium,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1187,E1040,CIVIL,4,High,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1377,E1040,MECH,1,Medium,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1080,E1040,CSE,2,Low,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1444,E1040,IT,4,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1261,E1040,ECE,5,Low,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1348,E1040,CIVIL,1,Medium,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1446,E1040,EEE,1,High,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1332,E1040,CSE,7,High,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1318,E1040,MECH,7,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1211,E1040,CIVIL,1,Medium,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1371,E1040,IT,7,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1419,E1040,EEE,2,Medium,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1207,E1040,CIVIL,8,High,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1263,E1040,IT,6,Medium,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1199,E1040,MECH,6,Low,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1153,E1040,IT,7,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1391,E1040,MECH,3,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1314,E1040,ECE,7,Low,Medium,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1340,E1040,MECH,7,Medium,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1151,E1040,MECH,5,High,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1459,E1040,CIVIL,2,Medium,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1356,E1040,ECE,7,Low,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1015,E1040,EEE,8,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1380,E1040,MECH,7,Low,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1272,E1040,MECH,3,Medium,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1078,E1040,IT,8,High,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1349,E1040,EEE,8,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1090,E1040,EEE,1,High,Medium,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1271,E1040,ECE,5,High,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1062,E1040,EEE,8,Low,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1223,E1040,IT,1,Medium,Late,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1297,E1040,EEE,5,Low,Early,1,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
S1209,E1040,CIVIL,4,Medium,Early,0,0.5,0,2023-08-01,AR/VR,Faculty,Tuesday,Evening (5-7 PM),180,Online,3,High,57
