feature,importance
club_activity_numeric,0.045598265
event_attractiveness,0.03864382
high_promo_popular_topic,0.029806623
student_engagement_score,0.029718947
reg_timing_numeric,0.027457029
exam_is_near,0.025053982
topic_Web Development,0.022562575
recent_att_x_event,0.02231469
exam_proximity,0.02165706
dept_topic_match,0.021462213
semester_week,0.020855328
topic_popularity,0.019460479
registration_commitment,0.018809523
day_popularity,0.017587407
is_weekend,0.017532226
promotion_level_encoded,0.017388875
day_of_week_Saturday,0.017297748
timeslot_popularity,0.016938923
speaker_pull,0.01620602
time_slot_Morning (9-11 AM),0.016164571
registration_timing_encoded,0.015761908
month,0.015152545
topic_Data Science,0.01481008
num_registrations,0.014683243
topic_UI/UX Design,0.01425607
topic_Competitive Programming,0.013983832
mode_encoded,0.013593123
topic_Game Development,0.013534647
day_of_week_Tuesday,0.013475526
exam_pressure,0.013467673
department_IT,0.013311048
speaker_type_Faculty,0.013269764
dept_engagement,0.013137784
student_recent_3_rate,0.013102019
topic_Cybersecurity,0.012650619
day_of_week_Sunday,0.012608297
department_ECE,0.0125482315
student_attendance_std,0.012524741
topic_Career Guidance,0.012284663
day_of_week_Wednesday,0.012210491
student_rolling_attendance,0.0120918555
time_slot_Evening (5-7 PM),0.012034568
department_EEE,0.012032024
past_attendance_rate,0.012017289
semester,0.011914931
registration_density,0.011757293
student_cumulative_attended,0.01158224
topic_DevOps,0.011430497
department_MECH,0.011397072
duration_minutes,0.011393581
topic_Open Source,0.011332963
attendance_streak,0.011248938
topic_AR/VR,0.011205696
student_total_events,0.011044107
department_CSE,0.0109282145
day_of_week_Monday,0.010863311
past_events_count,0.010601522
speaker_type_Industry,0.010542585
topic_Blockchain,0.010449855
topic_Cloud Computing,0.009794563
day_of_week_Thursday,0.009637222
topic_IoT,0.00886373
speaker_type_Student,0.008797712
is_long_workshop,0.0074228933
topic_Machine Learning,0.0067327195
topic_Mobile App Dev,0.0
